n,Divide and Conquer,Dynamic Programming
13900050,911,33
13910050,955,36
13920050,927,33
13930050,905,33
13940050,921,34
13950050,907,33
13960050,907,34
13970050,908,33
13980050,913,33
13990050,905,33
14000050,897,33
14010050,906,33
14020050,905,36
14030050,911,32
14040050,916,34
14050050,902,35
14060050,902,34
14070050,915,33
14080050,906,33
14090050,916,32
14100050,896,32
14110050,915,32
14120050,903,34
14130050,911,33
14140050,903,35
14150050,924,35
14160050,915,34
14170050,915,33
14180050,923,33
14190050,917,34
14200050,915,37
14210050,928,34
14220050,924,34
14230050,921,36
14240050,925,33
14250050,917,33
14260050,920,37
14270050,923,33
14280050,925,34
14290050,919,34
14300050,939,35
14310050,923,34
14320050,940,35
14330050,955,35
14340050,935,34
14350050,951,34
14360050,954,38
14370050,986,37
14380050,963,34
14390050,1010,35
14400050,979,36
14410050,976,36
14420050,966,40
14430050,971,36
14440050,981,39
14450050,967,36
14460050,962,36
14470050,984,35
14480050,1036,41
14490050,1012,36
14500050,986,38
14510050,1001,39
14520050,1000,37
14530050,1006,33
14540050,969,39
14550050,992,35
14560050,965,39
14570050,974,34
14580050,967,34
14590050,954,37
14600050,994,34
14610050,1053,36
14620050,1020,37
14630050,952,33
14640050,950,34
14650050,954,34
14660050,941,37
14670050,946,35
14680050,947,33
14690050,923,35
14700050,918,34
14710050,913,36
14720050,939,35
14730050,930,34
14740050,932,35
14750050,928,35
14760050,930,33
14770050,930,37
14780050,937,35
14790050,935,36
14800050,946,38
14810050,921,36
14820050,934,35
14830050,936,36
14840050,939,37
14850050,929,34
14860050,928,37
14870050,943,37
14880050,950,36
14890050,947,35
14900050,934,35
14910050,942,35
14920050,938,36
14930050,941,34
14940050,944,35
14950050,946,37
14960050,945,36
14970050,940,39
14980050,1122,42
14990050,954,34
15000050,984,36
15010050,950,34
15020050,958,35
15030050,948,36
15040050,949,35
15050050,956,36
15060050,947,34
15070050,948,36
15080050,962,35
15090050,954,35
15100050,948,35
15110050,948,39
15120050,957,36
15130050,959,36
15140050,956,35
15150050,946,36
15160050,986,35
15170050,967,39
15180050,957,36
15190050,959,37
15200050,956,35
15210050,971,35
15220050,976,37
15230050,973,37
15240050,962,36
15250050,954,36
15260050,964,35
15270050,964,37
15280050,979,39
15290050,968,36
15300050,965,35
15310050,969,36
15320050,969,36
15330050,967,36
15340050,972,35
15350050,963,35
15360050,960,37
15370050,978,37
15380050,974,37
15390050,980,36
15400050,968,35
15410050,966,36
15420050,975,38
15430050,982,37
15440050,978,36
15450050,971,36
15460050,983,35
15470050,983,37
15480050,981,38
15490050,986,38
15500050,969,35
15510050,978,35
15520050,984,37
15530050,988,36
15540050,975,37
15550050,981,37
15560050,978,36
15570050,991,36
15580050,994,36
15590050,978,37
15600050,972,37
15610050,973,37
15620050,985,38
15630050,982,36
15640050,981,41
15650050,981,39
15660050,983,38
15670050,980,37
15680050,999,36
15690050,1021,39
15700050,974,37
15710050,986,37
15720050,990,37
15730050,986,37
15740050,992,36
15750050,985,37
15760050,987,42
15770050,1002,39
15780050,991,36
15790050,984,37
15800050,1004,38
15810050,1001,38
15820050,1002,38
15830050,1002,36
15840050,1002,38
15850050,998,36
15860050,991,37
15870050,1022,37
15880050,1003,38
15890050,1009,38
15900050,997,38
15910050,994,39
15920050,1007,37
15930050,992,38
15940050,1009,37
15950050,990,39
15960050,1009,38
15970050,1005,37
15980050,994,38
15990050,1003,37
16000050,996,37
16010050,1008,39
16020050,1000,36
16030050,1020,38
16040050,1004,38
16050050,1002,39
16060050,1005,39
16070050,1011,37
16080050,1004,39
16090050,1003,38
16100050,1005,37
16110050,1015,38
16120050,1013,38
16130050,1010,37
16140050,1008,38
16150050,1016,39
16160050,1008,39
16170050,1001,37
16180050,1566,41
16190050,1101,38
16200050,1046,40
16210050,1027,38
16220050,1015,38
16230050,1056,38
16240050,1024,42
16250050,1018,38
16260050,1019,38
16270050,1024,39
16280050,1041,38
16290050,1026,38
16300050,1041,38
16310050,1016,40
16320050,1029,40
16330050,1042,40
16340050,1042,40
16350050,1041,39
16360050,1034,39
16370050,1019,39
16380050,1038,40
16390050,1051,38
16400050,1048,40
16410050,1028,38
16420050,1037,40
16430050,1045,42
16440050,1066,38
16450050,1033,42
16460050,1041,39
16470050,1045,39
16480050,1052,39
16490050,1038,40
16500050,1031,38
16510050,1044,37
16520050,1047,40
16530050,1049,41
16540050,1035,38
16550050,1048,42
16560050,1040,39
16570050,1051,39
16580050,1039,39
16590050,1047,41
16600050,1058,39
16610050,1050,40
16620050,1058,39
16630050,1050,39
16640050,1047,37
16650050,1041,38
16660050,1052,40
16670050,1051,38
16680050,1046,38
16690050,1047,39
16700050,1056,39
16710050,1051,41
16720050,1045,39
16730050,1046,40
16740050,1040,39
16750050,1051,40
16760050,1051,41
16770050,1064,40
16780050,1171,40
16790050,1181,41
16800050,1183,41
16810050,1160,39
16820050,1169,40
16830050,1184,40
16840050,1181,40
16850050,1182,39
16860050,1169,39
16870050,1194,41
16880050,1192,41
16890050,1187,42
16900050,1195,39
16910050,1175,40
